dataset,kir,method,scope,protocol,n,source,oos_f1,oos_f1_std,f1_all,f1_all_std,f1_k,f1_k_std,accuracy,accuracy_std,known_recall,known_recall_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std,auroc,auroc_std,aupr_oos,aupr_oos_std
stackoverflow,0.5,frozen_k1,gate_only_trainable_minilm,protocol_v2_textoir_v1,3,results/diagnostics/racal_v1/RACAL_V1_STAGE1_MEAN_STD.csv,0.7728960941964712,0.0416619928295454,0.7859760162154994,0.0142753601190919,0.7872840084174023,0.0155521871313087,0.753,0.0284315291859557,0.8371111111111111,0.0012570787221093,0.2654444444444444,0.0631994686647456,0.1628888888888889,0.0012570787221094,0.8819071851851851,0.0186814766408928,0.8468439295787179,0.0331201296698002
stackoverflow,0.5,trainable_k1,gate_only_trainable_minilm,protocol_v2_textoir_v1,3,results/diagnostics/racal_v1/RACAL_V1_STAGE1_MEAN_STD.csv,0.8670909818700716,0.0078620402794092,0.856539550407569,0.0030317950951661,0.8554844072613187,0.0027177063071635,0.8582222222222221,0.0063425858340055,0.8392222222222222,0.0031778554769055,0.1114444444444444,0.0164774443661481,0.1607777777777777,0.0031778554769055,0.9175097777777778,0.0087096483026328,0.8877702922396726,0.0202351648897693
stackoverflow,0.5,trainable_fixed_k1,gate_only_trainable_minilm,protocol_v2_textoir_v1,3,results/diagnostics/racal_v1/stage2_fixed_k2/RACAL_V1_STAGE2_MEAN_STD.csv,0.8670909818700716,0.0078620402794092,0.856539550407569,0.0030317950951661,0.8554844072613187,0.0027177063071635,0.8582222222222223,0.0063425858340055,0.8392222222222222,0.0031778554769055,0.1114444444444444,0.0164774443661481,0.1607777777777778,0.0031778554769055,0.9175097777777778,0.0087096483026328,0.8877702922396727,0.0202351648897693
stackoverflow,0.5,trainable_fixed_k2,gate_only_trainable_minilm,protocol_v2_textoir_v1,3,results/diagnostics/racal_v1/stage2_fixed_k2/RACAL_V1_STAGE2_MEAN_STD.csv,0.6764813688704444,0.0615027555606565,0.7680702640586476,0.0126125604771255,0.7772291535774679,0.0079525265132528,0.7156111111111111,0.0347235999726659,0.9362222222222224,0.0029101779674908,0.4525555555555555,0.078175649014034,0.0637777777777777,0.0029101779674908,0.8945461851851851,0.0135615359538147,0.8753872833336821,0.0246759206163933
stackoverflow,0.5,k2_minus_k1,gate_only_trainable_minilm,protocol_v2_textoir_v1,3,results/diagnostics/racal_v1/stage2_fixed_k2/RACAL_V1_STAGE2_MEAN_STD.csv,-0.1906096129996272,0.0549916092221722,-0.0884692863489213,0.011108282225265,-0.0782552536838507,0.0067369786980542,-0.1426111111111111,0.0299123204312243,0.097,0.0019626135258506,0.3411111111111111,0.0642220299881782,-0.0969999999999999,0.0019626135258506,-0.0229635925925925,0.0122841544635111,-0.0123830089059905,0.0167478510521761
stackoverflow,0.5,racal_trainable_k1,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/joint_adaptive_multicenter_v1/pilot_summary.csv,0.867090982,0.00786204,0.85653955,0.003031795,0.855484407,0.002717706,0.858222222,0.006342586,0.839222222,0.003177856,0.111444444,0.016477444,,,,,,
stackoverflow,0.5,joint_adaptive_repair6,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/joint_adaptive_multicenter_v1/pilot_summary.csv,0.866083178,0.011122516,0.856277809,0.00503096,0.855297272,0.004708241,0.857666667,0.008945825,0.838777778,0.004476275,0.112888889,0.022843266,,,,,,
stackoverflow,0.5,joint_adaptive_contract_repair,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/joint_adaptive_multicenter_contract_repair_v1/summary.csv,0.866083178,0.009081496,0.8562778085,0.0041077612,0.8552972716,0.003844263,0.8576666667,0.0073042352,0.8387777778,0.0036548632,0.1128888889,0.0186514488,0.1612222222,0.0036548632,0.8977234444,0.0024448508,0.8396364869,0.0021260671
stackoverflow,0.5,consistency_base_k1,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/consistency_gate_v1/summary.csv,0.8670909819,0.0078620403,0.8576451326,0.0032388592,0.8567005476,0.0029386996,0.8588888889,0.0064353384,0.8392222222,0.0031778555,0.1114444444,0.0164774444,0.1607777778,0.0031778555,0.91751,0.0087097071,0.8877708242,0.0202349389
stackoverflow,0.5,consistency_consistency_strict,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/consistency_gate_v1/summary.csv,0.8662700971,0.0073925966,0.8515645116,0.0017732732,0.850093953,0.0013446642,0.8561666667,0.0056486642,0.8124444444,0.0059958834,0.0924444444,0.0182357673,0.1875555556,0.0059958834,0.9108938148,0.0093832023,0.8801336646,0.0214307127
stackoverflow,0.5,consistency_evidence_margin,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/consistency_gate_v1/summary.csv,0.8672635608,0.0076316911,0.85801865,0.002730455,0.857094159,0.0024355826,0.8592222222,0.0059850637,0.8375555556,0.0020427529,0.1098888889,0.0144666496,0.1624444444,0.0020427529,0.9154650741,0.0114838478,0.8828799364,0.0265486453
stackoverflow,0.5,consistency_combined_selected,diagnostic_pilot,protocol_v2_textoir_v1,3,results/diagnostics/consistency_gate_v1/summary.csv,0.8673771888,0.0073473478,0.8565615566,0.0023107268,0.855517431,0.0018452737,0.8585,0.0061418419,0.8318888889,0.0025288459,0.106,0.0160646841,0.1681111111,0.0025288459,0.9115254074,0.0094902793,0.8806802374,0.0215361014
